Hatice Günday56.0
Ramazan Topaloğlu47.0
Mehmet Düşenkalkar43.0
Merve Tütüncü33.0
Merve Alyanak51.0
Meryem Aşıkoğlu58.0
Süleyman Uluhan55.0
Esra Ekici18.0
Süleyman Kumcuoğlu42.0
Elif Nebioğlu30.0
Sude Berberoğlu53.0
Yasemin Durmaz37.0
Emre Sözeri38.0
Yasemin Kurutluoğlu43.0
Fatma Akman42.0
Fatih Fahri19.0
Halil Sarıoğlu54.0
Merve Arıcan46.0
İsmail Kaplangı37.0
Havva Erbulak44.0
Salih Ağaoğlu22.0
Abdullah Solmaz50.0
Fatih Elmastaşoğlu36.0
Sude Kumcuoğlu36.0
Abdullah Kuzucu58.0
Sude Orbay43.0
Hülya Karadaş58.0
Fatma Tuğluk44.0
Recep Eronat56.0
Hüseyin Kunt43.0
Halil Numanoğlu55.0
Ömer Kulaksızoğlu48.0
İbrahim Erez49.0
Süleyman Koçyiğit57.0
Salih Orbay33.0
Sude Balcı37.0
İbrahim Pekkan33.0
Fatih Erdoğan39.0
Abdullah Ekşioğlu34.0
Osman Adan56.0
Ramazan Paksüt41.0
Halil Gökgöz35.0
Mahmut Akışık44.0
Ali Oraloğlu48.0
Hanife Poçan49.0
Ayşe Kurutluoğlu50.0
Fatih Akman57.0
Mehmet Babacan41.4
